initial_position,final_configuration,degree,final_rank,rank_CB,final_rank_normlized,rank_CB_normlized,TeckRank_int
0,Oort,1,0.744,20198.0,0.7601920915500153,6349.0,1.0
7,vChain,2,1.216,15265.0,1.242464493716154,11282.0,2.0
31,ForAllSecure,3,1.332,12223.0,1.3609890671298661,14324.0,3.0
26,Synack,3,1.551,3485.0,1.584755287626443,23062.0,4.0
24,Threatcare,3,1.641,8055.0,1.676714008378461,18492.0,5.0
27,ID Quantique,3,1.68,19406.0,1.716562787371002,7141.0,6.0
48,Vera,4,1.842,8731.0,1.8820884847246346,17816.0,7.0
23,BlueVoyant,3,1.847,3121.0,1.887197302544191,23426.0,8.0
4,Enigio,2,2.002,21549.0,2.045570654950444,4998.0,9.0
34,Helm,3,2.022,25298.0,2.0660059262286703,1249.0,10.0
22,L7 Defense,3,2.032,25972.0,2.076223561867784,575.0,11.0
21,Garrison Technology,3,2.032,19706.0,2.076223561867784,6841.0,12.0
32,Noname Security,3,2.037,8087.0,2.08133237968734,18460.0,13.0
25,Cybellum,3,2.037,14155.0,2.08133237968734,12392.0,14.0
42,NortonLifeLock,4,2.083,2059.0,2.128333503627261,24488.0,15.0
49,Zscaler,4,2.181,170.0,2.228466332890569,26377.0,16.0
33,BlackDuck,3,2.288,9223.0,2.337795034229079,17324.0,17.0
51,StackPath,4,2.341,3764.0,2.391948503116379,22783.0,18.0
28,Attunity,3,2.417,22841.0,2.469602533973638,3706.0,19.0
47,Fortanix,4,2.422,4981.0,2.474711351793195,21566.0,20.0
55,Lacework,4,2.536,581.0,2.591192398079084,25966.0,21.0
52,Jumbo Privacy,4,2.665,9835.0,2.7229998978236436,16712.0,22.0
62,Argon Security,5,2.754,12507.0,2.81393685501175,14040.0,23.0
77,Securicy,6,2.769,22552.0,2.82926330847042,3995.0,24.0
20,PAS,3,2.878,12361.0,2.9406355369367527,14186.0,25.0
17,Cyberinc,3,2.912,14372.0,2.975375498109737,12175.0,26.0
79,Horizon3.ai,6,2.916,13211.0,2.979462552365382,13336.0,27.0
29,Cryptzone,3,2.916,23873.0,2.979462552365382,2674.0,28.0
3,Mission Secure,2,2.991,10218.0,3.0560948196587305,16329.0,29.0
5,Jiffy,3,3.0,10026.0,3.0652906917339324,16521.0,30.0
6,Westman Atelier,3,3.0,24736.0,3.0652906917339324,1811.0,31.0
2,Inxpect,2,3.04,19252.0,3.106161234290385,7295.0,32.0
53,OPSWAT,4,3.073,528.0,3.139879431899458,26019.0,33.0
60,OneTrust,4,3.191,107.0,3.2604475324409927,26440.0,34.0
44,Skyport Systems,4,3.225,19552.0,3.2951874936139776,6995.0,35.0
30,Fluree,3,3.279,8650.0,3.350362726065188,17897.0,36.0
68,BigID,5,3.307,152.0,3.378972105854705,26395.0,37.0
65,Tresorit,5,3.427,13615.0,3.5015837335240625,12932.0,38.0
74,Signal Sciences,6,3.432,3858.0,3.506692551343619,22689.0,39.0
57,Talend,4,3.485,1264.0,3.5608460202309185,25283.0,40.0
75,Immuta,6,3.486,1902.0,3.56186778379483,24645.0,41.0
82,HUB Security,6,3.565,17720.0,3.6425871053438232,8827.0,42.0
59,Synapse Technology Corporation,4,3.584,20994.0,3.662000613058138,5553.0,43.0
50,Reflectiz,4,3.595,20420.0,3.6732400122611626,6127.0,44.0
54,Inky,4,3.682,5572.0,3.7621334423214465,20975.0,45.0
91,Text IQ,7,3.682,2273.0,3.7621334423214465,24274.0,46.0
70,AppOmni,5,3.7,280.0,3.7805251864718503,26267.0,47.0
58,TripleBlind,4,3.713,3711.0,3.7938081128026973,22836.0,48.0
16,Armor,3,3.746,6953.0,3.8275263104117703,19594.0,49.0
46,Qohash,4,3.825,15098.0,3.9082456319607637,11449.0,50.0
18,FaceFirst,3,3.841,18848.0,3.9245938489833456,7699.0,51.0
72,Ensighten,5,3.944,12069.0,4.02983549606621,14478.0,52.0
35,Greyscale AI,3,3.949,26546.0,4.034944313885767,1.0,53.0
15,G4S,3,3.97,988.0,4.0564013487279045,25559.0,54.0
89,Alcide,7,4.151,8222.0,4.241340553795851,18325.0,55.0
41,FORT Robotics,4,4.266,2254.0,4.358843363645652,24293.0,56.0
43,Wombat Security Technologies,4,4.448,19486.0,4.544804332277511,7061.0,57.0
61,Edge,5,4.461,4447.0,4.558087258608358,22100.0,58.0
85,CAST Software,6,4.486,15622.0,4.58363134770614,10925.0,59.0
95,Aware,8,4.514,14372.0,4.612240727495657,12175.0,60.0
90,AT&T CyberSecurity,7,4.564,10402.0,4.663328905691222,16145.0,61.0
76,Numbers Protocol,6,4.826,6580.0,4.931030959435986,19967.0,62.0
84,ISARA Corporation,6,4.842,17123.0,4.947379176458567,9424.0,63.0
80,TrapX Security,6,4.945,12168.0,5.0526208235414325,14379.0,64.0
83,Dtex Systems,6,5.019,6420.0,5.1282313272708695,20127.0,65.0
10,Greenspace,3,5.044,24592.0,5.153775416368651,1955.0,66.0
56,xMatters,4,5.168,1463.0,5.280474098293655,25084.0,67.0
1,Embleema,2,5.491,22739.0,5.610503729437007,3808.0,68.0
13,RoverPass,3,5.534,25989.0,5.654439562685194,558.0,69.0
71,Platform.sh,5,5.546,7051.0,5.666700725452131,19496.0,70.0
37,EfficientIP,4,5.599,19675.0,5.72085419433943,6872.0,71.0
19,adsquare,3,5.696,23355.0,5.819965260038826,3192.0,72.0
92,NXM LABS INC.,7,5.719,25979.0,5.8434658220087865,568.0,73.0
8,Lungpacer Medical,3,5.905,19847.0,6.033513844896291,6700.0,74.0
11,LianBio,3,5.905,8391.0,6.033513844896291,18156.0,75.0
66,GK8,5,5.915,16068.0,6.043731480535404,10479.0,76.0
9,Delta Air Lines,3,6.042,20881.0,6.173495453152141,5666.0,77.0
94,Alitheon,7,6.046,16322.0,6.177582507407786,10225.0,78.0
14,Aurora Innovation,3,6.136,8358.0,6.269541228159804,18189.0,79.0
86,Claravine,6,6.23,13769.0,6.365587003167467,12778.0,80.0
45,MeWe,4,6.331,5701.0,6.468785123122509,20846.0,81.0
12,Cricket Media,3,6.368,22959.0,6.506590374987228,3588.0,82.0
67,Open-Xchange,5,6.766,19217.0,6.913252273423929,7330.0,83.0
78,Telegram Messenger,6,6.815,1425.0,6.963318688055584,25122.0,84.0
38,STAQ Pharma,4,6.854,26022.0,7.003167467048125,525.0,85.0
73,x.ai,5,6.898,3364.0,7.048125063860223,23183.0,86.0
98,1Password,10,7.148,1291.0,7.303565954838049,25256.0,87.0
69,True-Tickets,5,7.238,7631.0,7.395524675590068,18916.0,88.0
81,DroneShield,6,7.682,18948.0,7.849187697966691,7599.0,89.0
99,Acronis,10,7.689,595.0,7.85634004291407,25952.0,90.0
40,Overhaul,4,7.781,10989.0,7.950342290793909,15558.0,91.0
96,Secure Code Warrior,9,8.137,4301.0,8.314090119546337,22246.0,92.0
97,Praetorian,9,8.328,12218.0,8.509246960253396,14329.0,93.0
93,Nymi,7,8.426,11743.0,8.609379789516705,14804.0,94.0
64,Fusion Connect,5,8.611,12159.0,8.798406048840299,14388.0,95.0
36,FirstEnergy Corp.,4,8.633,3515.0,8.820884847246345,23032.0,96.0
87,Saab,6,8.782,5577.0,8.973127618269132,20970.0,97.0
39,Datasembly,4,9.144,11925.0,9.343006028405027,14622.0,98.0
63,Front Range Biosciences,5,9.26,13317.0,9.461530601818739,13230.0,99.0
88,Vence,6,9.787,12406.0,10.0,14141.0,100.0
