TeckRank_int,rank_CB_normlized,name
1.0,3745.0,Instoried
2.0,7655.0,ConductorOne
3.0,6542.0,Feedback Loop
4.0,8085.0,Sourcegraph
5.0,9537.0,JFrog
6.0,8051.0,Coforge
7.0,790.0,NewCraft
8.0,1407.0,SonarSource
9.0,5657.0,Ulab Systems
10.0,6877.0,BlackLine
11.0,2453.0,atSpoke
12.0,4303.0,Gremlin
13.0,8121.0,Resilia
14.0,3946.0,Accomango
15.0,8710.0,Gitpod
16.0,1670.0,Nobl9
17.0,2567.0,Decisions
18.0,438.0,Alloy Automation
19.0,9158.0,Octopus Deploy
20.0,9199.0,IFS
21.0,7553.0,Bubble
22.0,1507.0,Unily
23.0,7639.0,Zenvia
24.0,2784.0,apiiro
25.0,7691.0,ChurnZero
26.0,739.0,Pixel8earth
27.0,4541.0,Crownpeak
28.0,4430.0,mabl
29.0,1263.0,Pigment
30.0,17.0,Openlytics
31.0,5251.0,Empyrean Solutions
32.0,6257.0,Nhost
33.0,2242.0,Slidebean
34.0,1318.0,QuotaPath
35.0,4687.0,Poppulo
36.0,4966.0,Alluxio
37.0,1186.0,"Flowhaven, Licensing Suite"
38.0,3465.0,CareLineLive
39.0,553.0,Cledara
40.0,852.0,iLobby
41.0,5861.0,dltledgers
42.0,115.0,SKAEL
43.0,4553.0,GrubTech
44.0,248.0,Reachdesk
45.0,6925.0,NowPay
46.0,6937.0,n8n.io
47.0,7136.0,Scalable Capital
48.0,432.0,Surround Insurance
49.0,3977.0,Kredi
50.0,6808.0,Facet Wealth
51.0,490.0,Cowen Group
52.0,3976.0,responsAbility
53.0,3582.0,LiquiLoans
54.0,3724.0,Acala Network
55.0,3713.0,Mahindra finance
56.0,1761.0,Branch Insurance
57.0,3809.0,Muthoot Finance
58.0,3925.0,Alliant Insurance Services
59.0,3834.0,Unifimoney
60.0,3919.0,Marshmallow
61.0,455.0,PayU Finance India
62.0,3889.0,Minna Technologies
63.0,6873.0,Kin Insurance
64.0,6807.0,Credit Kudos
65.0,4190.0,Assetz Capital
66.0,4038.0,Ruptok
67.0,9821.0,Acorns
68.0,311.0,LSQ Funding
69.0,6344.0,Secfi
70.0,6329.0,Cardless
71.0,4701.0,EarnUp
72.0,4730.0,CoverWallet
73.0,4735.0,Scratch
74.0,6279.0,Freetrade
75.0,1066.0,Found
76.0,6235.0,Vault
77.0,6234.0,CPE
78.0,4777.0,Balancer Labs
79.0,6219.0,smallcase
80.0,1324.0,Igloo
81.0,4822.0,Brightside
82.0,315.0,Zhong An
83.0,9695.0,Morgan Stanley
84.0,4564.0,Virtu Financial
85.0,4474.0,Stilt
86.0,9700.0,Hippo Insurance
87.0,6788.0,Pluang
88.0,4080.0,Handelsbanken
89.0,405.0,Matic Insurance
90.0,6725.0,FutureFuel.io
91.0,4170.0,HDB Financial Services
92.0,1464.0,Arcview Group
93.0,3566.0,Ramp
94.0,6674.0,BillGO
95.0,9738.0,Nium
96.0,6649.0,Habito
97.0,6600.0,READYFOR
98.0,9764.0,StashAway
99.0,1406.0,Honeycomb Credit
100.0,1401.0,Bimaplan
101.0,4545.0,BITA
102.0,1029.0,Aqumon
103.0,8742.0,Fidelity Management and Research Company
104.0,7159.0,Innovation Works
105.0,8218.0,Origin
106.0,1691.0,Mercuryo
107.0,2183.0,FinLocker
108.0,2217.0,Demica
109.0,8137.0,Beyond Finance
110.0,8111.0,insureQ
111.0,818.0,Signal Advisors
112.0,2304.0,U Gro Capital
113.0,8076.0,Nav
114.0,8073.0,Moonfare
115.0,2366.0,Solactive
116.0,2412.0,CIT Group
117.0,8646.0,Personal Capital
118.0,7962.0,Clark
119.0,2492.0,Ledn
120.0,2109.0,PayBright
121.0,8244.0,wefox
122.0,2087.0,Perfios Software Solutions
123.0,9305.0,OfBusiness
124.0,1767.0,Wisetack
125.0,1789.0,Hepster
126.0,8534.0,PrimaryBid
127.0,8467.0,Brella Insurance
128.0,1872.0,M1 Finance
129.0,8414.0,Turtlemint
130.0,1924.0,Shuaa Capital psc
131.0,2528.0,Amartha
132.0,8382.0,Yieldstreet
133.0,1992.0,Vybe
134.0,1721.0,Planet42
135.0,8313.0,Gulf Capital
136.0,2036.0,Mansa
137.0,8299.0,Ethos Life
138.0,8279.0,Euroclear
139.0,2081.0,Boost
140.0,1965.0,LIQID
141.0,7904.0,Prosper Marketplace
142.0,724.0,Sidewalk Infrastructure Partners
143.0,2578.0,SmartBiz Loans
144.0,1008.0,Forward Financing
145.0,7355.0,Phoenix Insurance Company
146.0,3287.0,Sable
147.0,556.0,X1 Card
148.0,7311.0,Wrapbook
149.0,7299.0,Altonomy
150.0,7267.0,Digit Insurance
151.0,3171.0,Capital Technologies
152.0,3399.0,Fabric Technologies
153.0,8748.0,Policygenius
154.0,525.0,Dayforward
155.0,1564.0,Mumbai Angels
156.0,509.0,Allica Bank
157.0,3520.0,Weav
158.0,3521.0,Tomo
159.0,1553.0,FRACTAL
160.0,3456.0,Capitalize
161.0,7157.0,Bought By Many
162.0,3140.0,Yotta Savings
163.0,3089.0,Altruist
164.0,1650.0,Bracket Capital
165.0,7834.0,Uploan
166.0,2686.0,Stagwell Group
167.0,2748.0,Cormorant Asset Management
168.0,2758.0,Netwealth
169.0,7754.0,LinkAja
170.0,2824.0,Mylo
171.0,9524.0,Funding Circle
172.0,2841.0,Lendo
173.0,2880.0,Collective
174.0,1640.0,Ensurem
175.0,3014.0,Zaver
176.0,634.0,Kalaari Capital
177.0,7564.0,Ignatica
178.0,1612.0,PrimeRevenue
179.0,3064.0,FRIDAY
180.0,2861.0,Bank Mandiri
181.0,4892.0,Smava
182.0,1760.0,EVO Payments International
183.0,6017.0,Neo Financial
184.0,6099.0,NiYO Solutions
185.0,137.0,Covr Financial Technologies
186.0,5504.0,LeapFrog Investments
187.0,5618.0,PasarPolis
188.0,5059.0,AC Ventures
189.0,9067.0,Zego
190.0,5740.0,GroMo
191.0,5210.0,Modifi
192.0,1153.0,ELEMENT Insurance AG
193.0,5540.0,LendUp
194.0,5387.0,Avanti Finance
195.0,9052.0,Wagestream
196.0,4990.0,Avista
197.0,5724.0,Plum Fintech
198.0,5864.0,MarketFinance
199.0,5415.0,Validus
200.0,9028.0,Investcorp
201.0,9916.0,Clearcover
202.0,5804.0,Riskcovry
203.0,5716.0,BITE Investments
204.0,5344.0,Even Financial
205.0,5495.0,Nationwide Building Society
206.0,1247.0,Money View
207.0,10020.0,SoFi
208.0,1304.0,Magma Fincorp
209.0,5484.0,Marquee Equity
210.0,5108.0,Point72
211.0,5360.0,West Creek
212.0,6123.0,Gaorong Capital
213.0,5289.0,Setu
214.0,7594.0,Whereby
215.0,348.0,TierPoint
216.0,3338.0,Wheels Eye
217.0,7348.0,Borderless Capital
218.0,1453.0,HubTran
219.0,1748.0,Blameless
220.0,2325.0,Modern Networks
221.0,7996.0,The Graph
222.0,6335.0,Mem Labs
223.0,6394.0,Tipe
224.0,1953.0,Immutable
225.0,9922.0,Naver
226.0,9171.0,Baidu
227.0,3721.0,Stir Money
228.0,4711.0,Zignaly
229.0,8641.0,Neeva
230.0,4968.0,Codi
231.0,8226.0,Voice
232.0,5987.0,Geneva
233.0,7305.0,Mail.Ru Group
234.0,3980.0,Augmented Intelligence (AUI)
235.0,2755.0,Skyrora
236.0,6508.0,Syzygy Plasmonics
237.0,3968.0,Teampay
238.0,819.0,DriveWealth
239.0,8635.0,Addepar
240.0,4216.0,FIDEL API
241.0,2253.0,defi SOLUTIONS
242.0,5960.0,ezbob
243.0,2324.0,Pier
244.0,8145.0,Duck Creek Technologies
245.0,6750.0,Bud
246.0,3954.0,Agicap
247.0,2386.0,Riskalyze
248.0,2090.0,TaxDown
249.0,5681.0,Happay
250.0,7095.0,Rupifi
251.0,8018.0,Codat
252.0,6530.0,Vena Solutions
253.0,2070.0,Coterie Insurance
254.0,379.0,Zumo
255.0,6695.0,Qapita
256.0,2334.0,CloudMargin
257.0,4751.0,Digits
258.0,1934.0,Founderpath
259.0,5549.0,Costanoa Ventures
260.0,4978.0,Fundation
261.0,9505.0,Makuake
262.0,928.0,Volante Technologies
263.0,108.0,Sardine
264.0,7543.0,Amount.com
265.0,8420.0,Capdesk
266.0,6200.0,Klaim
267.0,10053.0,Plaid
268.0,6285.0,"Okra, Inc."
269.0,4826.0,Sovos
270.0,7476.0,Blend
271.0,602.0,Kover
272.0,3292.0,Janani.ai
273.0,64.0,Doktor.se
274.0,8014.0,Baebies
275.0,5279.0,Health 100
276.0,7552.0,Radiology Partners
277.0,5474.0,Manipal Hospitals
278.0,3933.0,Dozee
279.0,768.0,WelbeHealth
280.0,7335.0,Cue
281.0,7921.0,1upHealth
282.0,5473.0,Portea Medical
283.0,454.0,Orthly
284.0,2506.0,RapidAI
285.0,2472.0,Oxford Endovascular
286.0,9666.0,Tend
287.0,1643.0,Axonics Modulation Technologies
288.0,5280.0,Alydia Health
289.0,608.0,Bardy Diagnostics
290.0,3092.0,Imageens
291.0,9983.0,PharmEasy
292.0,5479.0,myNEXUS
293.0,5954.0,Ready
294.0,5785.0,Thriva
295.0,9368.0,Firefly Health
296.0,9204.0,Siemens Healthineers
297.0,5932.0,NovoCure
298.0,7440.0,Outset Medical
299.0,9933.0,Virta Health
300.0,3199.0,SilverCloud Health
301.0,3201.0,Exo
302.0,3204.0,BRAC
303.0,7399.0,Mindstrong
304.0,7551.0,VillageMD
305.0,3209.0,TransMedics
306.0,3250.0,Apollo Hospitals Enterprise
307.0,2379.0,Remedy
308.0,3861.0,Brightline
309.0,1534.0,Datos Health
310.0,3839.0,Landmark Health
311.0,9480.0,Dialogue
312.0,7104.0,Tilray
313.0,7634.0,Simple Health
314.0,8680.0,PlusDental
315.0,1141.0,Materna Medical
316.0,9586.0,Omada Health
317.0,5705.0,Digbi Health
318.0,667.0,Sound Physicians
319.0,2760.0,Zomedica
320.0,7077.0,Beep Saúde
321.0,5705.0,mPharma
322.0,3471.0,AllStripes
323.0,141.0,DuPage Medical Group
324.0,2873.0,Advocate Aurora Health
325.0,9995.0,Ro
326.0,9451.0,Curaleaf
327.0,7722.0,SWORD Health
328.0,2829.0,Xealth
329.0,7176.0,LOOM
330.0,5229.0,Apnimed
331.0,2901.0,Sensyne Health
332.0,7783.0,LumiraDx
333.0,8739.0,Alignment Healthcare
334.0,5252.0,Fresenius Medical Care North America
335.0,5271.0,Cricket Health
336.0,726.0,electroCore
337.0,628.0,OS Therapies
338.0,9498.0,Tomorrow Health
339.0,5378.0,Rejoy Health
340.0,3769.0,InterWell Health
341.0,2605.0,Zenflow
342.0,3750.0,Meru Health
343.0,2617.0,Inari Medical
344.0,7021.0,Thirty Madison
345.0,3738.0,Shockwave Medical
346.0,5871.0,Respicardia
347.0,3339.0,Praava Health
348.0,3357.0,Sofía
349.0,3706.0,Current Health
350.0,3653.0,Earlens Corporation
351.0,545.0,Octave
352.0,3647.0,MedShape
353.0,8765.0,Truepill
354.0,3646.0,Progyny
355.0,8692.0,Boston Scientific
356.0,3855.0,ImmunityBio
357.0,973.0,Intuity Medical
358.0,7489.0,Treace Medical Concepts
359.0,9137.0,Rightway
360.0,1396.0,NOCD
361.0,4429.0,Bioventus
362.0,4647.0,Quanta
363.0,2154.0,XRHealth
364.0,4521.0,Tesseract Health
365.0,6015.0,Elation Health
366.0,2135.0,Mankind Pharma
367.0,4296.0,Alveo Technologies
368.0,4294.0,Asensus Surgical
369.0,1909.0,Kate Farms
370.0,8193.0,SteadyMD
371.0,8439.0,Ophelia
372.0,1898.0,HALO Diagnostics
373.0,4949.0,Capital Rx
374.0,8280.0,WELL Health Technologies
375.0,2190.0,CureApp
376.0,342.0,Envision Healthcare
377.0,898.0,Arrail Dental Clinic
378.0,6009.0,Mantra Health
379.0,4573.0,Calibrate
380.0,4554.0,AdaptHealth
381.0,1102.0,Ciox Health
382.0,1958.0,Aloe Care Health
383.0,6008.0,Oak Street Health
384.0,8358.0,Canvas Medical
385.0,6570.0,Moray Medical
386.0,6378.0,Visby Medical
387.0,312.0,Bloom Diagnostics
388.0,5058.0,Nuna Incorporated
389.0,1259.0,Vivante Health
390.0,1949.0,Practice Fusion
391.0,4390.0,UroMems
392.0,1728.0,Contessa
393.0,1952.0,Orca Bio
394.0,6645.0,Iora Health
395.0,9253.0,Somatus
396.0,4882.0,Empiric Health
397.0,6783.0,Parsley Health
398.0,4877.0,PQ Bypass
399.0,2316.0,Ciitizen
400.0,5974.0,SoYoung Technology
401.0,5484.0,Sense Biodetection
402.0,4103.0,Everside Health
403.0,2343.0,Certintell
404.0,5568.0,RefleXion Medical
405.0,5493.0,Sprout Therapy
406.0,1391.0,Dental Monitoring
407.0,406.0,Longboard Pharmaceuticals
408.0,7.0,Saluda Medical
409.0,8100.0,Cerebral
410.0,9343.0,Crossover Health
411.0,4565.0,Wellthy
412.0,5494.0,DaVita
413.0,5077.0,Zenyum
414.0,950.0,Imperative Care
415.0,5574.0,Verano Holdings
416.0,8328.0,PathAI
417.0,1435.0,WeSana Health
418.0,1297.0,Synendos Therapeutics
419.0,4497.0,MedMinder Systems
420.0,1821.0,Ontrak
421.0,4817.0,HealthJoy
422.0,234.0,BioSerenity
423.0,4493.0,Soothe
424.0,46.0,Ilara Health
425.0,6115.0,Allurion Technologies
426.0,4242.0,Pulmonx
427.0,5227.0,Authzed
428.0,5545.0,OpenText Corporation
429.0,9962.0,Amazon Web Services
430.0,2822.0,MayaData
431.0,8608.0,Abacum
432.0,5961.0,Ubuntu
433.0,7647.0,AppLearn
