initial_position,final_configuration,degree,techrank,rank_CB,techrank_normlized,rank_CB_normlized,TeckRank_int
72,1Password,0,2.601,1291.0,3.097534833869239,25256.0,1.0
88,Acronis,0,2.685,595.0,3.1975705609146123,25952.0,2.0
7,Aware,0,2.781,14372.0,3.311897106109325,12175.0,3.0
6,Alcide,0,2.883,8222.0,3.4333690603787064,18325.0,4.0
15,Text IQ,0,2.911,2273.0,3.4667143027271647,24274.0,5.0
91,Secure Code Warrior,0,2.942,4301.0,3.5036322496129575,22246.0,6.0
13,Securicy,0,2.97,22552.0,3.536977491961415,3995.0,7.0
95,Praetorian,0,2.99,12218.0,3.5607955222103134,14329.0,8.0
1,Westman Atelier,0,3.0,24736.0,3.5727045373347623,1811.0,9.0
2,Jiffy,0,3.0,10026.0,3.5727045373347623,16521.0,10.0
12,Horizon3.ai,0,3.033,13211.0,3.6120042872454445,13336.0,11.0
10,AT&T CyberSecurity,0,3.038,10402.0,3.6179587948076692,16145.0,12.0
8,Signal Sciences,0,3.101,3858.0,3.6929855900916992,22689.0,13.0
9,Immuta,0,3.161,1902.0,3.7644396808383944,24645.0,14.0
25,HUB Security,0,3.215,17720.0,3.82874836251042,8827.0,15.0
50,NXM LABS INC.,0,3.231,25979.0,3.847802786709539,568.0,16.0
66,Alitheon,0,3.342,16322.0,3.9799928545909253,10225.0,17.0
52,ISARA Corporation,0,3.366,17123.0,4.008574490889604,9424.0,18.0
21,Argon Security,0,3.38,12507.0,4.025247112063832,14040.0,19.0
61,CAST Software,0,3.437,15622.0,4.093128498273193,10925.0,20.0
37,Dtex Systems,0,3.44,6420.0,4.096701202810528,20127.0,21.0
19,TrapX Security,0,3.446,12168.0,4.1038466118851975,14379.0,22.0
11,Numbers Protocol,0,3.499,6580.0,4.166964392044778,19967.0,23.0
30,Tresorit,0,3.562,13615.0,4.241991187328807,12932.0,24.0
42,BigID,0,3.585,152.0,4.269381922115041,26395.0,25.0
39,Vera,0,3.594,8731.0,4.280100035727045,17816.0,26.0
44,AppOmni,0,3.665,280.0,4.364654043110635,26267.0,27.0
73,Nymi,0,3.694,11743.0,4.399190186971537,14804.0,28.0
14,NortonLifeLock,0,3.708,2059.0,4.415862808145766,24488.0,29.0
57,Zscaler,0,3.764,170.0,4.482553292842681,26377.0,30.0
