initial_position,final_configuration,degree,techrank,rank_CB,techrank_normlized,rank_CB_normlized,TeckRank_int
2,Cold Chain Technologies,0,1.0,138847.0,1.192037191560377,46801.0,1.0
0,U.S. Private Vaults,0,1.0,161325.0,1.192037191560377,24323.0,2.0
3,Stashable,0,1.0,179617.0,1.192037191560377,6031.0,3.0
1,CPO Magazine,0,1.0,159031.0,1.192037191560377,26617.0,4.0
6,SoundFun,0,2.0,43143.0,2.384074383120754,142505.0,5.0
54,Protegrity,0,2.205,80887.0,2.6284420073906305,104761.0,6.0
111,LockDown,0,2.242,43885.0,2.672547383478365,141763.0,7.0
62,1Password,0,2.25,1291.0,2.6820836810108477,184357.0,8.0
128,Acronis,0,2.302,595.0,2.744069614971987,185053.0,9.0
331,Tauruseer,0,2.405,54918.0,2.866849445702706,130730.0,10.0
184,CyberGhost,0,2.42,81498.0,2.884730003576112,104150.0,11.0
146,Perspecsys,0,2.429,50268.0,2.8954583383001546,135380.0,12.0
59,i2Chain,0,2.437,30559.0,2.904994635832638,155089.0,13.0
23,Alcide,0,2.444,8222.0,2.9133388961735607,177426.0,14.0
242,Aware,0,2.477,14372.0,2.952676123495053,171276.0,15.0
177,Ubisecure,0,2.487,134728.0,2.9645964954106576,50920.0,16.0
40,RazorSecure,0,2.495,31718.0,2.97413279294314,153930.0,17.0
154,Securicy,0,2.504,22552.0,2.984861127667183,163096.0,18.0
241,Text IQ,0,2.518,2273.0,3.0015496483490285,183375.0,19.0
207,Omnistruct Inc,0,2.537,77163.0,3.024198354988676,108485.0,20.0
110,Immuta,0,2.563,1902.0,3.055191321969246,183746.0,21.0
18,"deets, Inc.",0,2.574,97225.0,3.0683037310764094,88423.0,22.0
22,AT&T CyberSecurity,0,2.578,10402.0,3.073071879842651,175246.0,23.0
114,Secure Code Warrior,0,2.582,4301.0,3.0778400286088923,181347.0,24.0
135,Horizon3.ai,0,2.594,13211.0,3.092144474907617,172437.0,25.0
52,NXM LABS INC.,0,2.609,25979.0,3.110025032781023,159669.0,26.0
85,Swiss Security Solutions LLC,0,2.61,40435.0,3.111217069972583,145213.0,27.0
428,Praetorian,0,2.611,12218.0,3.112409107164144,173430.0,28.0
105,Signal Sciences,0,2.616,3858.0,3.1183692931219458,181790.0,29.0
47,Virtual Software Systems,0,2.628,87629.0,3.1326737394206705,98019.0,30.0
360,Mindpass,0,2.63,110527.0,3.1350578138037912,75121.0,31.0
97,HUB Security,0,2.642,17720.0,3.149362260102515,167928.0,32.0
247,Butlr,0,2.655,90143.0,3.1648587435928,95505.0,33.0
69,ExpressVPN,0,2.667,83840.0,3.1791631898915247,101808.0,34.0
96,MaidSafe,0,2.679,34068.0,3.193467636190249,151580.0,35.0
191,Originscale,0,2.683,85949.0,3.198235784956491,99699.0,36.0
314,Metacommerce,0,2.685,42728.0,3.2006198593396116,142920.0,37.0
117,Reservoir Labs,0,2.689,141218.0,3.2053880081058534,44430.0,38.0
87,Argon Security,0,2.7,12507.0,3.2185004172130176,173141.0,39.0
477,Impresso Labs,0,2.705,65537.0,3.2244606031708196,120111.0,40.0
51,ISARA Corporation,0,2.715,17123.0,3.2363809750864228,168525.0,41.0
48,Shift Cryptosecurity,0,2.724,78801.0,3.247109309810466,106847.0,42.0
78,MTG,0,2.73,148180.0,3.2542615329598283,37468.0,43.0
99,SafeSurv,0,2.745,96840.0,3.2721420908332344,88808.0,44.0
12,M86 Security,0,2.745,69712.0,3.2721420908332344,115936.0,45.0
180,Thinair,0,2.765,105904.0,3.295982834664442,79744.0,46.0
