initial_position,final_configuration,degree,final_rank
1,Platforms,4,20.723
4,Government and Military,6,22.1
0,Natural Resources,6,22.353
5,Navigation and Mapping,6,22.889
2,Events,6,23.489
3,Agriculture and Farming,8,29.627
9,Music and Audio,15,37.046
6,Energy,14,37.641
7,Travel and Tourism,13,38.337
18,Messaging and Telecommunications,22,40.172
10,Clothing and Apparel,18,41.438
8,Sustainability,19,43.13
12,Video,24,45.1
16,Advertising,26,47.155
11,Sports,21,49.879
14,Consumer Goods,25,50.819
13,Gaming,23,52.864
17,Content and Publishing,33,53.107
15,Manufacturing,29,53.268
22,Design,47,66.586
19,Real Estate,33,67.257
21,Community and Lifestyle,46,69.979
24,Consumer Electronics,57,71.417
25,Administrative Services,52,72.315
20,Food and Beverage,44,74.805
32,Artificial Intelligence,83,77.643
26,Biotechnology,54,80.551
29,Privacy and Security,69,82.912
23,Education,46,83.023
33,Apps,91,89.627
30,Sales and Marketing,88,90.202
27,Media and Entertainment,93,92.703
31,Professional Services,84,97.479
28,Transportation,87,105.871
35,Mobile,123,106.909
39,Payments,111,108.636
37,Hardware,137,112.108
38,Science and Engineering,143,115.797
41,Data and Analytics,162,118.588
36,Commerce and Shopping,145,129.805
40,Other,158,130.901
34,Health Care,126,138.393
44,Information Technology,235,151.61
43,Internet Services,229,152.052
42,Lending and Investments,155,160.859
45,Financial Services,301,215.066
46,Software,506,228.769
