initial_position,final_configuration,degree,techrank
0,Wellness,0,1.0
1,Cosmetics,0,1.0
2,Beauty,0,1.0
5,Home Services,0,1.0
4,Home Renovation,0,1.0
3,Home Improvement,0,1.0
73,Virtualization,0,2.568
71,File Sharing,0,2.568
72,Cloud Infrastructure,0,2.568
80,Mobile Devices,0,2.569
79,Web Development,0,2.569
78,Identity Management,0,2.569
58,Developer Platform,0,2.67
60,Enterprise Applications,0,2.67
59,Quality Assurance,0,2.67
56,Professional Services,0,2.67
57,Penetration Testing,0,2.67
55,Management Consulting,0,2.67
46,Wearables,0,2.888
47,Biometrics,0,2.888
89,Insurance,0,2.908
87,Optical Communication,0,2.919
106,Data Center,0,2.92
86,Consulting,0,3.043
77,Internet of Things,0,3.063
94,Software Engineering,0,3.067
28,Aerospace,0,3.08
29,Automotive,0,3.08
27,Manufacturing,0,3.08
30,National Security,0,3.08
96,Real Time,0,3.087
93,Predictive Analytics,0,3.087
83,Marketing Automation,0,3.088
17,Consumer Electronics,0,3.089
16,Livestock,0,3.089
15,Machinery Manufacturing,0,3.089
18,AgTech,0,3.089
67,Messaging,0,3.089
92,Quantum Computing,0,3.089
41,Military,0,3.091
42,Drones,0,3.091
12,Cannabis,0,3.202
13,Life Science,0,3.202
14,Agriculture,0,3.202
111,Cloud Computing,0,3.21
62,Financial Services,0,3.295
63,Asset Management,0,3.295
36,B2B,0,3.295
35,Ticketing,0,3.295
51,Scheduling,0,3.296
50,Virtual Assistant,0,3.296
53,Productivity Tools,0,3.296
68,Developer Tools,0,3.3
21,Communications Infrastructure,0,3.302
20,IT Infrastructure,0,3.302
19,Unified Communications,0,3.302
114,Developer APIs,0,3.431
112,Business Intelligence,0,3.436
39,Therapeutics,0,3.481
69,PaaS,0,3.484
102,Cloud Management,0,3.484
98,Collaboration,0,3.484
101,Computer Vision,0,3.485
116,Web Apps,0,3.519
65,Social Media,0,3.522
82,Robotics,0,3.524
32,Medical,0,3.532
103,Data Integration,0,3.548
6,Retail,0,3.573
7,Consumer Goods,0,3.573
8,E-Commerce,0,3.573
91,Cloud Data Services,0,3.574
85,Training,0,3.574
64,Infrastructure,0,3.575
44,Video,0,3.575
66,IT Management,0,3.575
24,Logistics,0,3.576
25,Supply Chain Management,0,3.576
10,Energy,0,3.576
9,Energy Efficiency,0,3.576
11,Clean Energy,0,3.576
97,Email,0,3.63
90,Marketing,0,3.63
123,Compliance,0,3.69
105,Analytics,0,3.695
115,Risk Management,0,3.711
52,Pharmaceutical,0,3.725
70,Electronics,0,3.726
104,Content,0,3.726
109,Open Source,0,3.764
108,Internet,0,3.764
99,Apps,0,3.766
61,Social Network,0,3.779
117,Machine Learning,0,3.782
125,SaaS,0,3.837
31,Telecommunications,0,3.842
38,Medical Device,0,3.851
54,Product Research,0,3.861
37,Biopharma,0,3.866
107,Mobile Apps,0,3.871
88,Mobile,0,3.89
119,Big Data,0,3.89
120,Privacy,0,3.892
118,Artificial Intelligence,0,3.898
84,Hardware,0,3.925
110,Blockchain,0,3.955
75,Facial Recognition,0,3.96
45,Ad Targeting,0,3.964
74,Finance,0,3.964
76,IaaS,0,3.965
113,Information Services,0,3.966
33,Customer Service,0,3.967
40,Leisure,0,3.968
22,E-Learning,0,3.971
23,Education,0,3.971
100,Industrial Automation,0,3.986
34,Transportation,0,3.987
124,Cloud Security,0,4.013
43,Biotechnology,0,4.022
81,Sensor,0,4.06
121,Enterprise Software,0,4.132
95,Service Industry,0,4.193
49,Travel,0,4.194
128,Computer,0,4.246
130,Network Security,0,4.412
48,Health Care,0,4.428
26,Hospital,0,4.453
126,Information Technology,0,4.468
122,Software,0,4.548
127,Security,0,4.585
129,Cyber Security,0,4.692
